## Traced by TaniTracer at Sat Nov 11 17:35:47 2023 for 220830-E6_Out.czi
#   total_planes = 9; width = 512; height = 512
#   laplace = 1.800000; min_distance = 1; threshold_abs = 0.014000
#   max_diameter = 10.000000; dup_threshold = 3.000000
#   image_clip_min = 10000.000000; image_clip_max = 12924.857000
## Chased by TaniChaser at Sat Nov 11 17:35:47 2023
#   chase_distance = 3.000000
total_index	plane	index	x	y	diameter	intensity	fit_error	chi_square	distance	life_index	life_total
30	1	17	117.92836283892393	441.56572288274765	3.8615746	11868	0.02275048	0.008109547	0.3308091067065125	1	9
30	2	154	118.51083439588547	441.56272208690643	3.356667	11471	0.13157247	0.04012156	0.5824792867088726	2	9
30	3	280	118.26364973187447	442.31618869304657	4.450588	11175	0.08872084	0.026891893	0.7929767869809101	3	9
30	4	120	117.80234876275063	443.65208211541176	4.0443187	11177	0.07180548	0.021776756	1.413297498771285	4	9
30	5	140	118.29507622122765	443.4941327869892	4.1504107	11226	0.06614503	0.019780912	0.5174247178927164	5	9
30	6	63	118.01073716580868	442.9806764628738	4.1435704	11339	0.04870799	0.015598568	0.5869293783843549	6	9
30	7	136	117.01538041885942	443.67037495970726	3.8221843	11115	0.0044923695	0.0013276478	1.210957914310698	7	9
30	8	270	115.70259460806847	445.6845754683018	3.7492871	10991	0.029518422	0.008249389	2.40424838022956	8	9
31	0	31	287.2061270773411	332.4285089969635	4.1728244	12794	0.0016375359	0.00058063766	0.0	0	4
31	1	11	287.293086796999	331.85896474123	3.7937438	13352	0.0031790005	0.0011660904	0.5761446451039837	1	4
31	2	14	286.81462812423706	331.79594527184963	3.329244	13206	0.006135085	0.0021380621	0.48259108473124507	2	4
31	3	26	286.983886199072	332.0803132355213	3.7686796	13156	0.024039969	0.008407664	0.3309281412325211	3	4
32	0	32	350.0765672698617	111.73591360449791	3.5932152	12495	0.00035090462	0.00012566955	0.0	0	4
32	1	9	350.497960627079	111.06638468056917	3.1746628	12830	0.0067868754	0.0023575693	0.7911013471635922	1	4
32	2	661	351.529125392437	110.801952034235	3.021965	11826	0.109370455	0.02686066	1.0645305997307228	2	4
32	3	221	350.3685790002346	111.16392603516579	2.8402026	12306	0.08972147	0.025444565	1.2156862694806563	3	4
33	0	33	241.99942616868066	274.2375902235508	3.446811	12591	0.00133407	0.00046527793	0.0	0	4
33	1	10	241.99982363900926	273.891832575202	3.9113882	12646	0.031727996	0.0116969235	0.34575787680739867	1	4
33	2	10	241.41429895162582	273.073385104537	3.6874275	12555	0.0021746731	0.0007832494	1.0063276910496777	2	4
33	3	45	240.22821259498596	272.87861479073763	3.7542686	12592	0.012893256	0.0044236584	1.2019718468186895	3	4
34	0	34	251.37617146968842	276.97822519764304	3.953182	13000	0.010078713	0.003429621	0.0	0	4
34	1	26	251.20585234463215	275.5989847481251	3.4458907	13203	0.030798927	0.010347611	1.389716813579821	1	4
34	2	9	250.99728246685117	276.4466346502304	4.8248005	13095	0.00038115427	0.00013843314	0.8729328441849054	2	4
34	3	60	250.44245859980583	275.8996596634388	4.495101	13419	0.0025750028	0.000854264	0.7791092090450678	3	4
35	0	35	194.88983947783709	278.0118146678433	3.4474406	12304	0.017419359	0.00601999	0.0	0	4
35	1	91	193.94257469847798	277.55400997400284	3.4724722	12011	0.12492049	0.03995243	1.0520911081824573	1	4
35	2	92	194.37937307357788	279.0284020733088	4.1276245	11988	0.0015054814	0.0005148418	1.537733684025237	2	4
35	3	240	193.71951153874397	278.8440708518028	3.9517248	11996	0.1475754	0.044027228	0.6851242546978283	3	4
36	0	36	440.9468988105655	83.7227138876915	3.4863658	12008	0.03928783	0.013640716	0.0	0	4
36	1	68	441.68673437833786	85.41449856758118	3.2919803	11896	0.012979606	0.004246535	1.84648099650403	1	4
36	2	259	439.85642947256565	84.59157273173332	3.7361705	11304	0.014882436	0.004337646	2.0067942045460727	2	4
36	3	262	438.8677853047848	84.71226358413696	3.532005	11457	0.006623636	0.0019619695	0.995983720921712	3	4
37	0	37	240.4832188487053	282.82498040795326	3.773965	12593	0.0010231513	0.00036329534	0.0	0	4
37	1	14	240.14419867098331	283.7319287657738	3.7261055	12603	0.0034765038	0.0012530077	0.9682406749646301	1	4
37	2	253	240.02473253197968	284.5110924243927	4.449717	12040	0.02922304	0.008824098	0.7882690944600502	2	4
37	3	7	239.77365300059319	283.15063913166523	4.731068	12755	0.008963884	0.0033513303	1.3834283836810195	3	4
38	0	38	256.6530901491642	319.92670410871506	4.0804515	12816	0.05587954	0.019813731	0.0	0	4
38	1	38	254.57099533081055	318.223853379488	3.5825691	12496	0.17172265	0.058433533	2.6897619669116226	1	4
38	2	125	253.86959758400917	316.86773394048214	4.6283545	12050	0.05448979	0.017796054	1.5267674125640727	2	4
38	3	50	253.31895259022713	316.333929926157	4.025248	12200	0.0015587348	0.0005580846	0.7669137075883199	3	4
39	0	39	273.8823149949312	449.2563343644142	3.3153338	12619	0.0011942954	0.00040158659	0.0	0	9
39	1	55	273.64778900146484	450.29543176293373	3.6621633	12538	0.016709177	0.005607417	1.0652351126495112	1	9
39	2	120	273.1055709645152	449.19185465574265	3.3638382	12195	0.00966699	0.0030045537	1.2295864471885498	2	9
39	3	72	272.91668079048395	448.7524723559618	3.361054	12320	0.019613411	0.006294362	0.47826384267082506	3	9
39	4	277	271.87236000597477	449.38284143805504	3.0377393	11352	0.09609742	0.025230542	1.219824200701456	4	9
39	5	132	272.38769084215164	449.9959567999467	3.155878	11756	0.04922749	0.014204211	0.8009221670688911	5	9
39	6	156	271.44622907042503	449.4369832575321	2.9620168	11635	0.002811003	0.00080275914	1.0948980266409	6	9
39	7	95	271.7490925490856	450.2919383049011	3.1924138	11721	0.015288558	0.004581164	0.9070140129723049	7	9
39	8	325	272.22537237405777	450.2589710652828	2.727929	11511	0.013172202	0.0033607357	0.4774194283473966	8	9
40	0	40	123.80896261334419	343.2817076444626	3.6477034	12427	0.0014043401	0.0004978557	0.0	0	9
40	1	273	121.81433326005936	342.8971923440695	4.5439663	11927	0.0048708213	0.0015158373	2.031353803063829	1	9
40	2	18	122.18862710893154	342.9230775758624	3.855334	12465	0.014108025	0.004996071	0.3751878603160388	2	9
